# === Stations Metadata ===
# north.cnv: Lat=42.491, Lon=3.188, X=-121.7, Y=877.7
# south.cnv: Lat=42.475, Lon=3.187, X=-203.8, Y=-891.5
# east.cnv: Lat=42.483, Lon=3.201, X=945.5, Y=-6.884
# west.cnv: Lat=42.483, Lon=3.177, X=-1025.0, Y=-6.884
# === Triangles Metadata ===
# triangle_T1_from: north_south_east
# triangle_T2_from: north_south_west
# triangle_T3_from: north_east_west
# triangle_T4_from: south_east_west
# =========================
depth_m,density (kg/m^3),salinity (PSU),temperature (degC),source_file,dp_dx_T1,dp_dx_T2,dp_dx_T3,dp_dx_T4,dp_dy_T1,dp_dy_T2,dp_dy_T3,dp_dy_T4,vx_T1_cm_s,vy_T1_cm_s,vx_T2_cm_s,vy_T2_cm_s,vx_T3_cm_s,vy_T3_cm_s,vx_T4_cm_s,vy_T4_cm_s
26.0,1027.347,38.0,19.32,north.cnv,1.281e-05,-0.0001755,-6.958e-05,-6.958e-05,-2.177e-06,6.562e-06,-0.0001016,0.0001049,-14.18535153567894,13.549521207022238,-15.232567537385087,-9.03052860011223,-2.2664549350771246,3.671259969497733,-27.0220140592009,3.671259969497733
27.0,1027.4359,38.05,19.15,north.cnv,9.321e-05,-0.0001472,-1.198e-05,-1.198e-05,3.615e-05,4.73e-05,-9.076e-05,0.0001728,-13.834091976732054,12.643825398185744,-14.772966510049326,-7.600226882906654,-3.1483447710389356,3.7876663184931303,-25.342964217263916,3.7876663184931303
28.0,1027.5476,38.13,18.98,north.cnv,0.0001383,-8.886e-05,3.893e-05,3.893e-05,7.204e-05,8.258e-05,-4.788e-05,0.0002012,-13.134099206980085,11.300002521218817,-13.970559473318097,-6.73679882182725,-3.613581498075643,3.409394267876195,-23.38795942445303,3.409394267876195
29.0,1027.6373,38.18,18.77,north.cnv,9.253e-05,-4.379e-05,3.289e-05,3.289e-05,9.558e-05,0.0001019,2.363e-05,0.0001731,-12.20537476315869,10.4009140844455,-12.980425336203638,-6.311303494405834,-3.3839753188802106,3.0898112279380747,-21.705994565429346,3.0898112279380747
30.0,1027.7292,38.21,18.53,north.cnv,-6.492e-05,-5.974e-06,-3.913e-05,-3.913e-05,0.0001202,0.0001174,0.0001513,8.668e-05,-11.037424583755763,11.031723782006548,-11.839681982943208,-6.25325578748609,-1.9138350348231157,3.4700266232794768,-20.863748961846603,3.4700266232794768
31.0,1027.6987,38.08,18.28,north.cnv,-2.472e-05,-5.951e-05,-3.994e-05,-3.994e-05,6.57e-05,6.731e-05,4.733e-05,8.547e-05,-10.399035841769306,11.27192118995031,-11.185649315924817,-5.675013564721802,-1.4539425057786843,3.858112564754954,-20.03326059384687,3.858112564754954
32.0,1027.7541,38.08,18.06,north.cnv,-5.838e-05,-6.659e-05,-6.197e-05,-6.197e-05,5.426e-05,5.464e-05,4.992e-05,5.893e-05,-9.871806418022196,11.839183515021382,-10.654727537201222,-5.027976938711475,-0.9688836625524431,4.46025792763016,-19.460654070783523,4.46025792763016
33.0,1027.8305,38.1,17.86,north.cnv,-7.868e-05,-7.552e-05,-7.73e-05,-7.73e-05,3.508e-05,3.493e-05,3.674e-05,3.328e-05,-9.530943753351192,12.60369532962556,-10.315322381073567,-4.294169970753828,-0.6118912366683844,5.211360663635535,-19.137281508632697,5.211360663635535
34.0,1027.8287,38.04,17.68,north.cnv,-5.536e-05,-0.0001173,-8.247e-05,-8.247e-05,-3.231e-05,-2.943e-05,-6.503e-05,2.93e-06,-9.84489109358837,13.141613149357225,-10.601285557278459,-3.154398289855635,-1.2437697738278892,6.012698860768307,-19.108811508419297,6.012698860768307
35.0,1027.8624,38.03,17.53,north.cnv,-4.963e-07,-0.000203,-8.907e-05,-8.907e-05,-2.596e-07,9.135e-06,-0.0001071,0.0001148,-9.847413555040724,13.146435559290984,-10.51252328698856,-1.181903394524575,-2.2844308737784154,6.878167433808397,-17.993331636576904,6.878167433808397
36.0,1027.9118,38.04,17.4,north.cnv,7.281e-05,-9.072e-05,1.269e-06,1.269e-06,7.756e-05,8.515e-05,-8.756e-06,0.0001705,-9.093784470893544,12.438960912349827,-9.68514427054797,-0.30040222750765366,-2.3695105058154553,6.865836911531673,-16.336630258971255,6.865836911531673
